,Unnamed: 0,Author,Published,Comment,Likes,Dislikes,Article,Keyword,Year,Month,Day,Sentiment
288,288,'Silvia,2014-02-26T21:27:18,voc sabe quantos benef cios descobertas termos medicina exemplo feitos conta trabalhos aparentemente n n estar amos tendo discuss,1,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,26,Negative
294,294,'Ismael Oliveira,2014-02-26T21:18:54,precisamos s agu coliformes fecais feij carunchado urgente pra fazer pres dio seguran m xima,19,8,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,26,Negative
309,309,'Raposa,2014-02-26T18:27:25,miss telesc pio encontrar estrelas semelhantes terra acho errado,25,2,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,26,Negative
318,318,'David Filho,2014-02-04T13:31:57,pedra nada errado pedra antes n l aparece repente voc concordar algo estranho n pedras t m movimento pr prio mudam lugar espontaneamente,2,0,Nasa investiga rocha misteriosa descoberta em Marte,NASA;;;;;;;;;;;;;;;;;',2014,4,2,Negative
320,320,'Andre Luiz,2014-02-04T13:17:52,verdade pra acertar cabe meteoro,1,0,Nasa investiga rocha misteriosa descoberta em Marte,NASA;;;;;;;;;;;;;;;;;',2014,4,2,Negative
323,323,'Francisco MarÃƒÂ§al,2014-01-25T10:18:11,desconfiado z dirceu jos genuino marcos val rio nesse lugar escondendo alguma coisa,14,6,Nasa investiga rocha misteriosa descoberta em Marte,NASA;;;;;;;;;;;;;;;;;',2014,1,25,Negative
327,327,'Woxxfull,2012-07-07T10:01:16,wanda gomes monkey america detected s pra calar boca descend ncia espanhola pai espanhol m brasileira voc quer saber marca t nis adidas j pra barcelona madrid munique voc baba ovo vez falar mal brasil n vai lar baba ovo gorda feia aposto voc virgem t feia,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
331,331,'FÃƒÂ¡bio Claro,2012-07-07T09:07:08,vou pegar nave pra curtir visual zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
337,337,'Woxxfull,2012-07-07T09:40:54,wanda gomes n s n mal educados s eua j esqueceu iraq feito guerras causa eua v lar matar crian mata fam lias mundo feito guerra causa eua s verdadeiros terroristas mate onde n chamado,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
341,341,'Sara A.,2012-07-07T09:16:21,gastam tanto dinheiro pra nao descobrirem nada marte al m terra nada vegeta pq nao criam bolha l mudam vez nao vai precisar gastar tanto dindin idas voltas pra tirar umas fotinhas areia avermelhada,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
342,342,'Humberto Santana,2012-07-07T09:46:12,ohhhh wanda gomes acaso fazes aqui perturbada caia gringa f d p,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
343,343,'FÃƒÂ¡bio Claro,2012-07-07T09:44:06,marte mentira vc terra tamb m estercoscefalicos,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
348,348,'EstevÃƒÂ£o Porchera,2012-07-07T10:03:01,q feio,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
352,352,'Rodrigo,2012-07-07T10:07:14,favor n publiquem tipo imagem povo parte ignorante pra compreender mesma n poss vel j n chega outra foto onde alguns ignorantes diziam paineis fotovoltaicos ve culo lotes residenciais marte coloque algo sobre futebol carros outras coisas assim ir compreender ainda passaremos longe asneiras obrigado,0,0,Nasa divulga imagem inÃƒÂ©dita com paisagem marciana,NASA;;;;;;;;;;;;;;;;;',2012,7,7,Negative
